,artist,title,mbid
0,AC/DC,Back in Black,939aa290-3b37-4a36-acb9-0bd90ab216fc
1,AC/DC,Demon Fire,b50e9913-eadb-46bf-9826-b03e2a3b3957
2,AC/DC,Dirty Deeds Done Dirt Cheap,6afe3b82-7708-47de-8b91-e36cd05d65ae
3,AC/DC,For Those About to Rock (We Salute You),fe074a30-849f-42c8-a53c-90627819665e
4,AC/DC,Have a Drink on Me,d528d647-cabf-4001-a8f1-78be5637d66b
5,AC/DC,Hell Ain't a Bad Place to Be,b0d2c5eb-367a-4d5e-b064-4d07bde0e318
6,AC/DC,Hells Bells,c7c25302-69ab-4a9d-b967-23cbc6793854
7,AC/DC,High Voltage,aa2d3e50-6e8f-4df2-ac0e-6e286a7a0b89
8,AC/DC,Highway to Hell,5935ec91-8124-42ff-937f-f31a20ffe58f
9,AC/DC,If You Want Blood (You've Got It),6dcd23eb-691b-4f41-8b82-e623ae744d3a
10,AC/DC,Intro,a78de966-701f-45d5-9d55-57fb76c001d9
11,AC/DC,Let There Be Rock,43c5c84c-4d9d-4c73-b155-6a3d8c1a3b56
12,AC/DC,Riff Raff,a7bdd53e-646a-4c91-8db3-9bf50edf148c
13,AC/DC,Rock 'n' Roll Train,33ec115e-74f2-4e32-9e30-f160e565ff0e
14,AC/DC,Shoot to Thrill,ee27ec51-14bf-4c7f-b099-af30dd7ea9ce
15,AC/DC,Shot Down in Flames,bf80d304-2c72-4352-9ced-3aaed8632346
16,AC/DC,Shot in the Dark,b18c03fb-a8c7-4be9-b9f1-cfa6e3ce933a
17,AC/DC,Sin City,b41968d1-6ea9-4395-9bba-a1d83296f107
18,AC/DC,Stiff Upper Lip,d84428fe-ec19-4c17-96bd-ef5aa3186cef
19,AC/DC,T.N.T.,6f51468d-f161-41cf-8414-cd58b370bdf8
20,AC/DC,Thunderstruck,6d19aaa7-1eb5-4488-a54d-fe07d0621a7f
21,AC/DC,Whole Lotta Rosie,7578ce92-8b92-4232-b754-84bc1cb47bf4
22,AC/DC,You Shook Me All Night Long,25a5670d-0fd2-420e-8d6a-bbd3ee5acfcc
23,Aerosmith,Adam's Apple,a7fe5e75-6145-4ef7-aa3a-0277f36cbaba
24,Aerosmith,Angel,b9e74911-1bc1-472b-afa6-8717c2866fba
25,Aerosmith,Back in the Saddle,15f5bf0f-b299-44df-87b5-69946675ff75
26,Aerosmith,Big Ten Inch Record,9e29408a-8b8e-4a49-9d08-1765f263f28d
27,Aerosmith,Bright Light Fright,df168997-c4ee-4279-b5c5-5dcedf9d0f4d
28,Aerosmith,Chip Away the Stone,9370a87a-2dac-40b8-abb9-4450c03b7444
29,Aerosmith,Come Together,28d93947-e806-4bdf-9111-7dd6e51fe025
30,Aerosmith,Cryin',132adde7-125f-495b-9293-a8260b08d743
31,Aerosmith,Draw the Line,f81a4987-f154-4bda-9a1f-578e47ed4838
32,Aerosmith,Dream On,bc6d83b2-b6b1-4cb5-afd7-def8b655d1b0
33,Aerosmith,Dude (Looks Like a Lady),88a8a065-5e5b-46af-a363-835ee6f75be6
34,Aerosmith,Full Circle,0c32ca77-e0cf-4c8e-971c-5592eb20705c
35,Aerosmith,Hangman Jury,3133ea0c-1f0a-4281-b64e-555143a1d03a
