artist,tour,event_date,venue,city,country,hasEncore,setlist,songTitles
AC/DC,Power Up,17-08-2024,Croke Park,Dublin,IE,1,"['a78de966-701f-45d5-9d55-57fb76c001d9', '6dcd23eb-691b-4f41-8b82-e623ae744d3a', '939aa290-3b37-4a36-acb9-0bd90ab216fc', 'b50e9913-eadb-46bf-9826-b03e2a3b3957', 'bf80d304-2c72-4352-9ced-3aaed8632346', '6d19aaa7-1eb5-4488-a54d-fe07d0621a7f', 'd528d647-cabf-4001-a8f1-78be5637d66b', 'c7c25302-69ab-4a9d-b967-23cbc6793854', 'b18c03fb-a8c7-4be9-b9f1-cfa6e3ce933a', 'd84428fe-ec19-4c17-96bd-ef5aa3186cef', '5935ec91-8124-42ff-937f-f31a20ffe58f', 'ee27ec51-14bf-4c7f-b099-af30dd7ea9ce', 'b41968d1-6ea9-4395-9bba-a1d83296f107', '33ec115e-74f2-4e32-9e30-f160e565ff0e', '6afe3b82-7708-47de-8b91-e36cd05d65ae', 'aa2d3e50-6e8f-4df2-ac0e-6e286a7a0b89', 'a7bdd53e-646a-4c91-8db3-9bf50edf148c', '25a5670d-0fd2-420e-8d6a-bbd3ee5acfcc', '7578ce92-8b92-4232-b754-84bc1cb47bf4', '43c5c84c-4d9d-4c73-b155-6a3d8c1a3b56', '6f51468d-f161-41cf-8414-cd58b370bdf8', 'fe074a30-849f-42c8-a53c-90627819665e']","['Intro', ""If You Want Blood (You've Got It)"", 'Back in Black', 'Demon Fire', 'Shot Down in Flames', 'Thunderstruck', 'Have a Drink on Me', 'Hells Bells', 'Shot in the Dark', 'Stiff Upper Lip', 'Highway to Hell', 'Shoot to Thrill', 'Sin City', ""Rock 'n' Roll Train"", 'Dirty Deeds Done Dirt Cheap', 'High Voltage', 'Riff Raff', 'You Shook Me All Night Long', 'Whole Lotta Rosie', 'Let There Be Rock', 'T.N.T.', 'For Those About to Rock (We Salute You)']"
AC/DC,Power Up,13-08-2024,Hippodrome de Longchamp,Paris,FR,1,"['6dcd23eb-691b-4f41-8b82-e623ae744d3a', '939aa290-3b37-4a36-acb9-0bd90ab216fc', 'b50e9913-eadb-46bf-9826-b03e2a3b3957', 'b0d2c5eb-367a-4d5e-b064-4d07bde0e318', '6d19aaa7-1eb5-4488-a54d-fe07d0621a7f', 'd528d647-cabf-4001-a8f1-78be5637d66b', 'c7c25302-69ab-4a9d-b967-23cbc6793854', 'b18c03fb-a8c7-4be9-b9f1-cfa6e3ce933a', 'd84428fe-ec19-4c17-96bd-ef5aa3186cef', 'ee27ec51-14bf-4c7f-b099-af30dd7ea9ce', 'b41968d1-6ea9-4395-9bba-a1d83296f107', '33ec115e-74f2-4e32-9e30-f160e565ff0e', '6afe3b82-7708-47de-8b91-e36cd05d65ae', 'aa2d3e50-6e8f-4df2-ac0e-6e286a7a0b89', 'a7bdd53e-646a-4c91-8db3-9bf50edf148c', '25a5670d-0fd2-420e-8d6a-bbd3ee5acfcc', '5935ec91-8124-42ff-937f-f31a20ffe58f', '7578ce92-8b92-4232-b754-84bc1cb47bf4', '43c5c84c-4d9d-4c73-b155-6a3d8c1a3b56', '6f51468d-f161-41cf-8414-cd58b370bdf8', 'fe074a30-849f-42c8-a53c-90627819665e']","[""If You Want Blood (You've Got It)"", 'Back in Black', 'Demon Fire', ""Hell Ain't a Bad Place to Be"", 'Thunderstruck', 'Have a Drink on Me', 'Hells Bells', 'Shot in the Dark', 'Stiff Upper Lip', 'Shoot to Thrill', 'Sin City', ""Rock 'n' Roll Train"", 'Dirty Deeds Done Dirt Cheap', 'High Voltage', 'Riff Raff', 'You Shook Me All Night Long', 'Highway to Hell', 'Whole Lotta Rosie', 'Let There Be Rock', 'T.N.T.', 'For Those About to Rock (We Salute You)']"
AC/DC,Power Up,09-08-2024,Festivalterrein Stenehei,Dessel,BE,1,"['6dcd23eb-691b-4f41-8b82-e623ae744d3a', '939aa290-3b37-4a36-acb9-0bd90ab216fc', 'b50e9913-eadb-46bf-9826-b03e2a3b3957', 'bf80d304-2c72-4352-9ced-3aaed8632346', '6d19aaa7-1eb5-4488-a54d-fe07d0621a7f', 'd528d647-cabf-4001-a8f1-78be5637d66b', 'c7c25302-69ab-4a9d-b967-23cbc6793854', 'b18c03fb-a8c7-4be9-b9f1-cfa6e3ce933a', 'd84428fe-ec19-4c17-96bd-ef5aa3186cef', 'ee27ec51-14bf-4c7f-b099-af30dd7ea9ce', 'b41968d1-6ea9-4395-9bba-a1d83296f107', '33ec115e-74f2-4e32-9e30-f160e565ff0e', '6afe3b82-7708-47de-8b91-e36cd05d65ae', 'aa2d3e50-6e8f-4df2-ac0e-6e286a7a0b89', 'a7bdd53e-646a-4c91-8db3-9bf50edf148c', '25a5670d-0fd2-420e-8d6a-bbd3ee5acfcc', '5935ec91-8124-42ff-937f-f31a20ffe58f', '7578ce92-8b92-4232-b754-84bc1cb47bf4', '43c5c84c-4d9d-4c73-b155-6a3d8c1a3b56', '6f51468d-f161-41cf-8414-cd58b370bdf8', 'fe074a30-849f-42c8-a53c-90627819665e']","[""If You Want Blood (You've Got It)"", 'Back in Black', 'Demon Fire', 'Shot Down in Flames', 'Thunderstruck', 'Have a Drink on Me', 'Hells Bells', 'Shot in the Dark', 'Stiff Upper Lip', 'Shoot to Thrill', 'Sin City', ""Rock 'n' Roll Train"", 'Dirty Deeds Done Dirt Cheap', 'High Voltage', 'Riff Raff', 'You Shook Me All Night Long', 'Highway to Hell', 'Whole Lotta Rosie', 'Let There Be Rock', 'T.N.T.', 'For Those About to Rock (We Salute You)']"
AC/DC,Power Up,04-08-2024,Messegelände,Hanover,DE,1,"['6dcd23eb-691b-4f41-8b82-e623ae744d3a', '939aa290-3b37-4a36-acb9-0bd90ab216fc', 'b50e9913-eadb-46bf-9826-b03e2a3b3957', 'bf80d304-2c72-4352-9ced-3aaed8632346', '6d19aaa7-1eb5-4488-a54d-fe07d0621a7f', 'd528d647-cabf-4001-a8f1-78be5637d66b', 'c7c25302-69ab-4a9d-b967-23cbc6793854', 'b18c03fb-a8c7-4be9-b9f1-cfa6e3ce933a', 'd84428fe-ec19-4c17-96bd-ef5aa3186cef', 'ee27ec51-14bf-4c7f-b099-af30dd7ea9ce', 'b41968d1-6ea9-4395-9bba-a1d83296f107', '33ec115e-74f2-4e32-9e30-f160e565ff0e', '6afe3b82-7708-47de-8b91-e36cd05d65ae', 'aa2d3e50-6e8f-4df2-ac0e-6e286a7a0b89', 'a7bdd53e-646a-4c91-8db3-9bf50edf148c', '25a5670d-0fd2-420e-8d6a-bbd3ee5acfcc', '5935ec91-8124-42ff-937f-f31a20ffe58f', '7578ce92-8b92-4232-b754-84bc1cb47bf4', '43c5c84c-4d9d-4c73-b155-6a3d8c1a3b56', '6f51468d-f161-41cf-8414-cd58b370bdf8', 'fe074a30-849f-42c8-a53c-90627819665e']","[""If You Want Blood (You've Got It)"", 'Back in Black', 'Demon Fire', 'Shot Down in Flames', 'Thunderstruck', 'Have a Drink on Me', 'Hells Bells', 'Shot in the Dark', 'Stiff Upper Lip', 'Shoot to Thrill', 'Sin City', ""Rock 'n' Roll Train"", 'Dirty Deeds Done Dirt Cheap', 'High Voltage', 'Riff Raff', 'You Shook Me All Night Long', 'Highway to Hell', 'Whole Lotta Rosie', 'Let There Be Rock', 'T.N.T.', 'For Those About to Rock (We Salute You)']"
AC/DC,Power Up,31-07-2024,Messegelände,Hanover,DE,1,"['6dcd23eb-691b-4f41-8b82-e623ae744d3a', '939aa290-3b37-4a36-acb9-0bd90ab216fc', 'b50e9913-eadb-46bf-9826-b03e2a3b3957', 'bf80d304-2c72-4352-9ced-3aaed8632346', '6d19aaa7-1eb5-4488-a54d-fe07d0621a7f', 'd528d647-cabf-4001-a8f1-78be5637d66b', 'c7c25302-69ab-4a9d-b967-23cbc6793854', 'b18c03fb-a8c7-4be9-b9f1-cfa6e3ce933a', 'd84428fe-ec19-4c17-96bd-ef5aa3186cef', 'ee27ec51-14bf-4c7f-b099-af30dd7ea9ce', 'b41968d1-6ea9-4395-9bba-a1d83296f107', '33ec115e-74f2-4e32-9e30-f160e565ff0e', '6afe3b82-7708-47de-8b91-e36cd05d65ae', 'aa2d3e50-6e8f-4df2-ac0e-6e286a7a0b89', 'a7bdd53e-646a-4c91-8db3-9bf50edf148c', '25a5670d-0fd2-420e-8d6a-bbd3ee5acfcc', '5935ec91-8124-42ff-937f-f31a20ffe58f', '7578ce92-8b92-4232-b754-84bc1cb47bf4', '43c5c84c-4d9d-4c73-b155-6a3d8c1a3b56', '6f51468d-f161-41cf-8414-cd58b370bdf8', 'fe074a30-849f-42c8-a53c-90627819665e']","[""If You Want Blood (You've Got It)"", 'Back in Black', 'Demon Fire', 'Shot Down in Flames', 'Thunderstruck', 'Have a Drink on Me', 'Hells Bells', 'Shot in the Dark', 'Stiff Upper Lip', 'Shoot to Thrill', 'Sin City', ""Rock 'n' Roll Train"", 'Dirty Deeds Done Dirt Cheap', 'High Voltage', 'Riff Raff', 'You Shook Me All Night Long', 'Highway to Hell', 'Whole Lotta Rosie', 'Let There Be Rock', 'T.N.T.', 'For Those About to Rock (We Salute You)']"
AC/DC,Power Up,27-07-2024,Zeppelinfeld,Nuremberg,DE,1,"['6dcd23eb-691b-4f41-8b82-e623ae744d3a', '939aa290-3b37-4a36-acb9-0bd90ab216fc', 'b50e9913-eadb-46bf-9826-b03e2a3b3957', 'bf80d304-2c72-4352-9ced-3aaed8632346', '6d19aaa7-1eb5-4488-a54d-fe07d0621a7f', 'd528d647-cabf-4001-a8f1-78be5637d66b', 'c7c25302-69ab-4a9d-b967-23cbc6793854', 'b18c03fb-a8c7-4be9-b9f1-cfa6e3ce933a', 'd84428fe-ec19-4c17-96bd-ef5aa3186cef', 'ee27ec51-14bf-4c7f-b099-af30dd7ea9ce', 'b41968d1-6ea9-4395-9bba-a1d83296f107', '33ec115e-74f2-4e32-9e30-f160e565ff0e', '6afe3b82-7708-47de-8b91-e36cd05d65ae', 'aa2d3e50-6e8f-4df2-ac0e-6e286a7a0b89', 'a7bdd53e-646a-4c91-8db3-9bf50edf148c', '25a5670d-0fd2-420e-8d6a-bbd3ee5acfcc', '5935ec91-8124-42ff-937f-f31a20ffe58f', '7578ce92-8b92-4232-b754-84bc1cb47bf4', '43c5c84c-4d9d-4c73-b155-6a3d8c1a3b56', '6f51468d-f161-41cf-8414-cd58b370bdf8', 'fe074a30-849f-42c8-a53c-90627819665e']","[""If You Want Blood (You've Got It)"", 'Back in Black', 'Demon Fire', 'Shot Down in Flames', 'Thunderstruck', 'Have a Drink on Me', 'Hells Bells', 'Shot in the Dark', 'Stiff Upper Lip', 'Shoot to Thrill', 'Sin City', ""Rock 'n' Roll Train"", 'Dirty Deeds Done Dirt Cheap', 'High Voltage', 'Riff Raff', 'You Shook Me All Night Long', 'Highway to Hell', 'Whole Lotta Rosie', 'Let There Be Rock', 'T.N.T.', 'For Those About to Rock (We Salute You)']"
AC/DC,Power Up,21-07-2024,Vajnory Airport,Bratislava,SK,1,"['6dcd23eb-691b-4f41-8b82-e623ae744d3a', '939aa290-3b37-4a36-acb9-0bd90ab216fc', 'b50e9913-eadb-46bf-9826-b03e2a3b3957', 'bf80d304-2c72-4352-9ced-3aaed8632346', '6d19aaa7-1eb5-4488-a54d-fe07d0621a7f', 'd528d647-cabf-4001-a8f1-78be5637d66b', 'c7c25302-69ab-4a9d-b967-23cbc6793854', 'b18c03fb-a8c7-4be9-b9f1-cfa6e3ce933a', 'd84428fe-ec19-4c17-96bd-ef5aa3186cef', 'ee27ec51-14bf-4c7f-b099-af30dd7ea9ce', 'b41968d1-6ea9-4395-9bba-a1d83296f107', '33ec115e-74f2-4e32-9e30-f160e565ff0e', '6afe3b82-7708-47de-8b91-e36cd05d65ae', 'aa2d3e50-6e8f-4df2-ac0e-6e286a7a0b89', 'a7bdd53e-646a-4c91-8db3-9bf50edf148c', '25a5670d-0fd2-420e-8d6a-bbd3ee5acfcc', '5935ec91-8124-42ff-937f-f31a20ffe58f', '7578ce92-8b92-4232-b754-84bc1cb47bf4', '43c5c84c-4d9d-4c73-b155-6a3d8c1a3b56', '6f51468d-f161-41cf-8414-cd58b370bdf8', 'fe074a30-849f-42c8-a53c-90627819665e']","[""If You Want Blood (You've Got It)"", 'Back in Black', 'Demon Fire', 'Shot Down in Flames', 'Thunderstruck', 'Have a Drink on Me', 'Hells Bells', 'Shot in the Dark', 'Stiff Upper Lip', 'Shoot to Thrill', 'Sin City', ""Rock 'n' Roll Train"", 'Dirty Deeds Done Dirt Cheap', 'High Voltage', 'Riff Raff', 'You Shook Me All Night Long', 'Highway to Hell', 'Whole Lotta Rosie', 'Let There Be Rock', 'T.N.T.', 'For Those About to Rock (We Salute You)']"
AC/DC,Power Up,17-07-2024,Cannstatter Wasen,Stuttgart,DE,1,"['6dcd23eb-691b-4f41-8b82-e623ae744d3a', '939aa290-3b37-4a36-acb9-0bd90ab216fc', 'b50e9913-eadb-46bf-9826-b03e2a3b3957', 'bf80d304-2c72-4352-9ced-3aaed8632346', '6d19aaa7-1eb5-4488-a54d-fe07d0621a7f', 'd528d647-cabf-4001-a8f1-78be5637d66b', 'c7c25302-69ab-4a9d-b967-23cbc6793854', 'b18c03fb-a8c7-4be9-b9f1-cfa6e3ce933a', 'ee27ec51-14bf-4c7f-b099-af30dd7ea9ce', 'd84428fe-ec19-4c17-96bd-ef5aa3186cef', 'b41968d1-6ea9-4395-9bba-a1d83296f107', '33ec115e-74f2-4e32-9e30-f160e565ff0e', '6afe3b82-7708-47de-8b91-e36cd05d65ae', 'aa2d3e50-6e8f-4df2-ac0e-6e286a7a0b89', 'a7bdd53e-646a-4c91-8db3-9bf50edf148c', '25a5670d-0fd2-420e-8d6a-bbd3ee5acfcc', '5935ec91-8124-42ff-937f-f31a20ffe58f', '7578ce92-8b92-4232-b754-84bc1cb47bf4', '43c5c84c-4d9d-4c73-b155-6a3d8c1a3b56', '6f51468d-f161-41cf-8414-cd58b370bdf8', 'fe074a30-849f-42c8-a53c-90627819665e']","[""If You Want Blood (You've Got It)"", 'Back in Black', 'Demon Fire', 'Shot Down in Flames', 'Thunderstruck', 'Have a Drink on Me', 'Hells Bells', 'Shot in the Dark', 'Shoot to Thrill', 'Stiff Upper Lip', 'Sin City', ""Rock 'n' Roll Train"", 'Dirty Deeds Done Dirt Cheap', 'High Voltage', 'Riff Raff', 'You Shook Me All Night Long', 'Highway to Hell', 'Whole Lotta Rosie', 'Let There Be Rock', 'T.N.T.', 'For Those About to Rock (We Salute You)']"
AC/DC,Power Up,13-07-2024,Hockenheimring,Hockenheim,DE,1,"['6dcd23eb-691b-4f41-8b82-e623ae744d3a', '939aa290-3b37-4a36-acb9-0bd90ab216fc', 'b50e9913-eadb-46bf-9826-b03e2a3b3957', 'bf80d304-2c72-4352-9ced-3aaed8632346', '6d19aaa7-1eb5-4488-a54d-fe07d0621a7f', 'd528d647-cabf-4001-a8f1-78be5637d66b', 'c7c25302-69ab-4a9d-b967-23cbc6793854', 'b18c03fb-a8c7-4be9-b9f1-cfa6e3ce933a', 'd84428fe-ec19-4c17-96bd-ef5aa3186cef', 'ee27ec51-14bf-4c7f-b099-af30dd7ea9ce', 'b41968d1-6ea9-4395-9bba-a1d83296f107', '33ec115e-74f2-4e32-9e30-f160e565ff0e', '6afe3b82-7708-47de-8b91-e36cd05d65ae', 'aa2d3e50-6e8f-4df2-ac0e-6e286a7a0b89', 'a7bdd53e-646a-4c91-8db3-9bf50edf148c', '25a5670d-0fd2-420e-8d6a-bbd3ee5acfcc', '5935ec91-8124-42ff-937f-f31a20ffe58f', '7578ce92-8b92-4232-b754-84bc1cb47bf4', '43c5c84c-4d9d-4c73-b155-6a3d8c1a3b56', '6f51468d-f161-41cf-8414-cd58b370bdf8', 'fe074a30-849f-42c8-a53c-90627819665e']","[""If You Want Blood (You've Got It)"", 'Back in Black', 'Demon Fire', 'Shot Down in Flames', 'Thunderstruck', 'Have a Drink on Me', 'Hells Bells', 'Shot in the Dark', 'Stiff Upper Lip', 'Shoot to Thrill', 'Sin City', ""Rock 'n' Roll Train"", 'Dirty Deeds Done Dirt Cheap', 'High Voltage', 'Riff Raff', 'You Shook Me All Night Long', 'Highway to Hell', 'Whole Lotta Rosie', 'Let There Be Rock', 'T.N.T.', 'For Those About to Rock (We Salute You)']"
AC/DC,Power Up,07-07-2024,Wembley Stadium,London,GB,1,"['6dcd23eb-691b-4f41-8b82-e623ae744d3a', '939aa290-3b37-4a36-acb9-0bd90ab216fc', 'b50e9913-eadb-46bf-9826-b03e2a3b3957', 'bf80d304-2c72-4352-9ced-3aaed8632346', '6d19aaa7-1eb5-4488-a54d-fe07d0621a7f', 'd528d647-cabf-4001-a8f1-78be5637d66b', 'c7c25302-69ab-4a9d-b967-23cbc6793854', 'b18c03fb-a8c7-4be9-b9f1-cfa6e3ce933a', 'd84428fe-ec19-4c17-96bd-ef5aa3186cef', 'ee27ec51-14bf-4c7f-b099-af30dd7ea9ce', 'b41968d1-6ea9-4395-9bba-a1d83296f107', '33ec115e-74f2-4e32-9e30-f160e565ff0e', '6afe3b82-7708-47de-8b91-e36cd05d65ae', 'aa2d3e50-6e8f-4df2-ac0e-6e286a7a0b89', 'a7bdd53e-646a-4c91-8db3-9bf50edf148c', '25a5670d-0fd2-420e-8d6a-bbd3ee5acfcc', '5935ec91-8124-42ff-937f-f31a20ffe58f', '7578ce92-8b92-4232-b754-84bc1cb47bf4', '43c5c84c-4d9d-4c73-b155-6a3d8c1a3b56', '6f51468d-f161-41cf-8414-cd58b370bdf8', 'fe074a30-849f-42c8-a53c-90627819665e']","[""If You Want Blood (You've Got It)"", 'Back in Black', 'Demon Fire', 'Shot Down in Flames', 'Thunderstruck', 'Have a Drink on Me', 'Hells Bells', 'Shot in the Dark', 'Stiff Upper Lip', 'Shoot to Thrill', 'Sin City', ""Rock 'n' Roll Train"", 'Dirty Deeds Done Dirt Cheap', 'High Voltage', 'Riff Raff', 'You Shook Me All Night Long', 'Highway to Hell', 'Whole Lotta Rosie', 'Let There Be Rock', 'T.N.T.', 'For Those About to Rock (We Salute You)']"
