,id,title,uri,tempo,time_sig,key_of,open_key,danceability,acousticness,artist.id,artist.name,artist.uri,artist.genres,artist.from,artist.mbid,album.title,album.uri,album.year,Nartist,Ntitle
0,gLmkR6,Back in Black,https://getsongbpm.com/song/back-in-black/gLmkR6,92.0,4/4,A,4d,31.0,2.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Back in Black,https://getsongbpm.com/album/back-in-black/wpNQr,1980.0,AC/DC,Back in Black
1,,,,,,,,,,,,,,,,,,,AC/DC,Demon Fire
2,02qWV,Dirty Deeds Done Dirt Cheap,https://getsongbpm.com/song/dirty-deeds-done-dirt-cheap/02qWV,136.0,4/4,Em,2m,67.0,22.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Dirty Deeds Done Dirt Cheap,https://getsongbpm.com/album/dirty-deeds-done-dirt-cheap/gJkPZ,1976.0,AC/DC,Dirty Deeds Done Dirt Cheap
3,Z8PpJ,For Those About to Rock (We Salute You),https://getsongbpm.com/song/for-those-about-to-rock-we-salute-you/Z8PpJ,133.0,4/4,E,5d,38.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,For Those About to Rock (We Salute You),https://getsongbpm.com/album/for-those-about-to-rock-we-salute-you/xPo3,1981.0,AC/DC,For Those About to Rock (We Salute You)
4,kZqoYX,Have a Drink on Me,https://getsongbpm.com/song/have-a-drink-on-me/kZqoYX,123.0,4/4,D,3d,43.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Back in Black,https://getsongbpm.com/album/back-in-black/wpNQr,1980.0,AC/DC,Have a Drink on Me
5,wAOX8,Hell Ain't a Bad Place to Be,https://getsongbpm.com/song/hell-ain-t-a-bad-place-to-be/wAOX8,129.0,4/4,A,4d,61.0,19.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Let There Be Rock,https://getsongbpm.com/album/let-there-be-rock/OYo5G,1977.0,AC/DC,Hell Ain't a Bad Place to Be
6,pQyz42,Hells Bells,https://getsongbpm.com/song/hells-bells/pQyz42,108.0,4/4,A,4d,39.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Back in Black,https://getsongbpm.com/album/back-in-black/wpNQr,1980.0,AC/DC,Hells Bells
7,M1krQ,High Voltage,https://getsongbpm.com/song/high-voltage/M1krQ,136.0,4/4,A,4d,57.0,3.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,High Voltage,https://getsongbpm.com/album/high-voltage/PG3Ew,1976.0,AC/DC,High Voltage
8,983pB,Highway to Hell,https://getsongbpm.com/song/highway-to-hell/983pB,117.0,4/4,,,58.0,6.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Highway to Hell,https://getsongbpm.com/album/highway-to-hell/RKxY,1979.0,AC/DC,Highway to Hell
9,nZGYW,If You Want Blood (You've Got It),https://getsongbpm.com/song/if-you-want-blood-you-ve-got-it/nZGYW,144.0,4/4,A,4d,49.0,3.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Highway to Hell,https://getsongbpm.com/album/highway-to-hell/RKxY,1979.0,AC/DC,If You Want Blood (You've Got It)
10,,,,,,,,,,,,,,,,,,,AC/DC,Intro
11,pqENV,Let There Be Rock,https://getsongbpm.com/song/let-there-be-rock/pqENV,185.0,4/4,Bm,3m,50.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Let There Be Rock,https://getsongbpm.com/album/let-there-be-rock/OYo5G,1977.0,AC/DC,Let There Be Rock
12,r8zk6,Riff Raff,https://getsongbpm.com/song/riff-raff/r8zk6,185.0,4/4,A,4d,18.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Powerage,https://getsongbpm.com/album/powerage/Rgr9V,1978.0,AC/DC,Riff Raff
13,wpoOQM,Rock 'n' Roll Train,https://getsongbpm.com/song/rock-n-roll-train/wpoOQM,118.0,4/4,D,3d,55.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Black Ice,https://getsongbpm.com/album/black-ice/19J40,2008.0,AC/DC,Rock 'n' Roll Train
14,qYz2g2,Shoot to Thrill,https://getsongbpm.com/song/shoot-to-thrill/qYz2g2,144.0,4/4,D,3d,46.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Back in Black,https://getsongbpm.com/album/back-in-black/wpNQr,1980.0,AC/DC,Shoot to Thrill
15,lO8vg,Shot Down in Flames,https://getsongbpm.com/song/shot-down-in-flames/lO8vg,129.0,4/4,G,2d,54.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Highway to Hell,https://getsongbpm.com/album/highway-to-hell/RKxY,1979.0,AC/DC,Shot Down in Flames
16,,,,,,,,,,,,,,,,,,,AC/DC,Shot in the Dark
17,vlE2r,Sin City,https://getsongbpm.com/song/sin-city/vlE2r,129.0,4/4,A,4d,55.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Powerage,https://getsongbpm.com/album/powerage/Rgr9V,1978.0,AC/DC,Sin City
18,xkRrP,Stiff Upper Lip,https://getsongbpm.com/song/stiff-upper-lip/xkRrP,123.0,4/4,G,2d,59.0,4.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Stiff Upper Lip,https://getsongbpm.com/album/stiff-upper-lip/LgO3X,2000.0,AC/DC,Stiff Upper Lip
19,G810y,T.N.T.,https://getsongbpm.com/song/tpointnpointtpoint/G810y,129.0,4/4,A,4d,76.0,16.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,High Voltage,https://getsongbpm.com/album/high-voltage/PG3Ew,1976.0,AC/DC,T.N.T.
20,xGMl9,Thunderstruck,https://getsongbpm.com/song/thunderstruck/xGMl9,136.0,4/4,E,5d,51.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,The Razors Edge,https://getsongbpm.com/album/the-razors-edge/D2RY,1990.0,AC/DC,Thunderstruck
21,xBPYB,Whole Lotta Rosie,https://getsongbpm.com/song/whole-lotta-rosie/xBPYB,161.0,4/4,A,4d,29.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Let There Be Rock,https://getsongbpm.com/album/let-there-be-rock/OYo5G,1977.0,AC/DC,Whole Lotta Rosie
22,jqpnX5,You Shook Me All Night Long,https://getsongbpm.com/song/you-shook-me-all-night-long/jqpnX5,128.0,4/4,G,2d,53.0,1.0,qB3,AC/DC,https://getsongbpm.com/artist/ac-dc/qB3,"['heavy metal', 'rock']",AU,66c662b6-6e2f-4930-8610-912e24c63ed1,Back in Black,https://getsongbpm.com/album/back-in-black/wpNQr,1980.0,AC/DC,You Shook Me All Night Long
23,gLPw7G,Adam's Apple,https://getsongbpm.com/song/adam-s-apple/gLPw7G,122.0,4/4,A,4d,54.0,1.0,4Wg,Aerosmith,https://getsongbpm.com/artist/aerosmith/4Wg,"['heavy metal', 'rock']",US,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Toys in the Attic,https://getsongbpm.com/album/toys-in-the-attic/p62Q,1975.0,Aerosmith,Adam's Apple
24,v2Po8,Angel,https://getsongbpm.com/song/angel/v2Po8,171.0,4/4,D♯,10d,26.0,30.0,4Wg,Aerosmith,https://getsongbpm.com/artist/aerosmith/4Wg,"['heavy metal', 'rock']",US,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Permanent Vacation,https://getsongbpm.com/album/permanent-vacation/A9l1,1987.0,Aerosmith,Angel
25,wrAg1,Back in the Saddle,https://getsongbpm.com/song/back-in-the-saddle/wrAg1,123.0,4/4,C♯,8d,43.0,1.0,4Wg,Aerosmith,https://getsongbpm.com/artist/aerosmith/4Wg,"['heavy metal', 'rock']",US,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Rocks,https://getsongbpm.com/album/rocks/qxjRG,1976.0,Aerosmith,Back in the Saddle
26,kZPA6N,Big Ten Inch Record,https://getsongbpm.com/song/big-ten-inch-record/kZPA6N,172.0,4/4,Am,1m,44.0,46.0,4Wg,Aerosmith,https://getsongbpm.com/artist/aerosmith/4Wg,"['heavy metal', 'rock']",US,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Toys in the Attic,https://getsongbpm.com/album/toys-in-the-attic/p62Q,1975.0,Aerosmith,Big Ten Inch Record
27,39qzR,Bright Light Fright,https://getsongbpm.com/song/bright-light-fright/39qzR,148.0,4/4,E,5d,47.0,10.0,4Wg,Aerosmith,https://getsongbpm.com/artist/aerosmith/4Wg,"['heavy metal', 'rock']",US,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Draw the Line,https://getsongbpm.com/album/draw-the-line/2k7mv,1977.0,Aerosmith,Bright Light Fright
28,,,,,,,,,,,,,,,,,,,Aerosmith,Chip Away the Stone
29,,,,,,,,,,,,,,,,,,,Aerosmith,Come Together
30,rk3xK,Cryin',https://getsongbpm.com/song/cryin/rk3xK,52.0,3/4,A,4d,45.0,1.0,4Wg,Aerosmith,https://getsongbpm.com/artist/aerosmith/4Wg,"['heavy metal', 'rock']",US,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Get a Grip,https://getsongbpm.com/album/get-a-grip/BgLP2,1993.0,Aerosmith,Cryin'
31,YMJ12,Draw the Line,https://getsongbpm.com/song/draw-the-line/YMJ12,144.0,4/4,A,4d,34.0,7.0,4Wg,Aerosmith,https://getsongbpm.com/artist/aerosmith/4Wg,"['heavy metal', 'rock']",US,3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Draw the Line,https://getsongbpm.com/album/draw-the-line/2k7mv,1977.0,Aerosmith,Draw the Line
